iso3,country,region,cities,city_ofmsw_food_green_tpy,city_unmanaged_ofmsw_food_green_tpy,cities_with_ad_asset_data,cities_with_compost_asset_data
TJK,Tajikistan,Eur. & Cent. Asia,2,2338.83,2338.83,0,0
TKM,Turkmenistan,Eur. & Cent. Asia,1,77080.0,77080.0,0,0
TLS,Timor-Leste,E. Asia & Pacific,1,31207.5,31207.5,0,0
TON,Tonga,E. Asia & Pacific,2,889.14,843.79386,0,0
TUN,Tunisia,Mid. East & N. Africa,3,66758.5,61417.81999999999,0,0
TUR,Türkiye,Eur. & Cent. Asia,2,3200573.446227,2547690.1841808003,1,0
TUV,Tuvalu,E. Asia & Pacific,1,312.67795778105096,203.89729626902334,0,1
TZA,Tanzania,Sub-Saharan Africa,1,1070086.4731315633,1024898.8634959853,0,0
UGA,Uganda,Sub-Saharan Africa,1,344775.4333333332,332363.5177333332,0,0
UKR,Ukraine,Eur. & Cent. Asia,2,574692.6789999999,463700.72918969486,0,1
URY,Uruguay,L. Amer. & the Caribbean,1,241710.992,241710.992,0,0
USA,United States,N. Amer.,3,431594.860325,198080.567498475,0,3
UZB,Uzbekistan,Eur. & Cent. Asia,2,439125.19999999995,439125.19999999995,0,0
VEN,"Venezuela, RB",L. Amer. & the Caribbean,1,893970.0,885924.27,0,0
VNM,Viet Nam,E. Asia & Pacific,2,3237272.5999999996,1334036.8647999999,0,1
VUT,Vanuatu,E. Asia & Pacific,1,13413.75,13346.68125,1,1
WSM,Samoa,E. Asia & Pacific,1,3661.68,3661.68,0,0
XKX,Kosovo,Eur. & Cent. Asia,2,0.0,0.0,0,0
YEM,"Yemen, Rep.",Mid. East & N. Africa,1,256960.0,0.0,0,0
ZAF,South Africa,Sub-Saharan Africa,2,831981.3319999999,744191.5903759999,0,1
ZMB,Zambia,Sub-Saharan Africa,2,285050.4,253236.1605,0,1
ZWE,Zimbabwe,Sub-Saharan Africa,2,89271.70000000001,84451.02820000002,0,0
