iso3,country,region,income_2022,ofmsw_food_green_2022_tpy,ofmsw_food_green_2022_to_landfill_dump_uncollected_tpy,electricity_carbon_intensity_2022_gco2_kwh,ad_screen_net_gwp100_benefit_tco2e,bio_cng_screen_net_gwp100_benefit_tco2e,compost_screen_net_gwp100_benefit_tco2e,prevention_screen_net_gwp100_benefit_tco2e,best_four_pathway_screen,best_four_pathway_benefit_tco2e
BHR,Bahrain,Mid. East & N. Africa,HIC,645094.53934854,456221.332493,902.75,166638.73359845576,157714.46246462106,142701.4705904855,211321.7212107576,Prevention,211321.7212107576
DJI,Djibouti,Mid. East & N. Africa,LMIC,0.0,0.0,450.0,,,,,,
EGY,"Egypt, Arab Rep.",Mid. East & N. Africa,LMIC,15096331.315863367,12152546.70927001,570.04,3154412.615596954,3296604.8672499936,2823918.981128835,5140421.583702003,Prevention,5140421.583702003
IRN,"Iran, Islamic Rep.",Mid. East & N. Africa,LMIC,14734412.942618882,12981017.802447235,655.37,3808162.193170664,3855969.845865574,3370997.7833199888,5668140.058539819,Prevention,5668140.058539819
IRQ,Iraq,Mid. East & N. Africa,UMIC,12461687.004741486,12453870.715142358,688.71,3802469.8836225593,3809322.217052452,3351518.2368336874,5422690.600476332,Prevention,5422690.600476332
ISR,Israel,Mid. East & N. Africa,HIC,2661537.4599999995,2015975.8800000008,583.32,687436.0600728197,708508.6656784307,630577.0955052001,933800.0276160004,Prevention,933800.0276160004
JOR,Jordan,Mid. East & N. Africa,LMIC,1959796.4782118923,1822610.72473706,539.21,522639.47609849786,549244.9316026759,477341.16086969245,782513.2664563039,Prevention,782513.2664563039
KWT,Kuwait,Mid. East & N. Africa,HIC,1662001.376662524,1662001.376662524,636.89,573495.9118864716,582502.7886105193,519857.4106062708,769839.0376700811,Prevention,769839.0376700811
LBN,Lebanon,Mid. East & N. Africa,LMIC,1457668.7706118536,1457668.7706118536,379.86,407918.5295821243,451022.0686574198,389334.5826178024,641887.3584764712,Prevention,641887.3584764712
LBY,Libya,Mid. East & N. Africa,UMIC,2890891.722595346,2890891.722595346,830.53,829329.1891569946,792396.9345431896,693507.578900288,1233693.8244010091,Prevention,1233693.8244010091
MLT,Malta,Mid. East & N. Africa,HIC,112342.056582,97319.62398370232,500.0,32886.84318787693,34666.00825582645,30757.967926962232,43881.24988318563,Prevention,43881.24988318563
MAR,Morocco,Mid. East & N. Africa,LMIC,5262285.850885011,4836040.696963325,662.64,1781829.302102304,1796336.4095674048,1616294.312407467,2291868.6222355664,Prevention,2291868.6222355664
OMN,Oman,Mid. East & N. Africa,HIC,1249413.1112073,619708.9031588208,545.28,284400.70984150923,293093.42679646146,268713.01554255665,297596.1174467154,Prevention,297596.1174467154
QAT,Qatar,Mid. East & N. Africa,HIC,757087.7446213181,754715.9618651386,596.9,258132.28865190863,265058.174353383,236067.60571179667,349584.4335359322,Prevention,349584.4335359322
SAU,Saudi Arabia,Mid. East & N. Africa,HIC,8677370.581836307,8332555.726510289,700.05,4582507.4031837825,4578213.597043661,4273609.895398186,4693274.707371081,Prevention,4693274.707371081
SYR,Syrian Arab Republic,Mid. East & N. Africa,LIC,2395863.530646965,2328120.489317922,682.27,594360.3396706883,597050.0834266398,511198.55595306994,969878.28470172,Prevention,969878.28470172
