iso3,country,best_four_pathway_screen,scenario,mitigation_potential_score,readiness_score,opportunity_readiness_class,central_opportunity_readiness_class
WSM,Samoa,Prevention,Collection-heavy,0.0906264633694502,0.6691330308109454,No-regret / complementary,No-regret / complementary
SGP,Singapore,AD-bio-CNG,Collection-heavy,0.1486560822700873,0.9791666666666666,No-regret / complementary,No-regret / complementary
SLB,Solomon Islands,Prevention,Collection-heavy,0.442599888067506,0.5081041736655534,Longer-term / local fit,Longer-term / local fit
TWN,"Taiwan, China",AD-bio-CNG,Collection-heavy,0.3330537932584356,0.75,No-regret / complementary,No-regret / complementary
THA,Thailand,Prevention,Collection-heavy,0.9711303440645884,0.7641480423590766,Immediate priority,Immediate priority
TLS,Timor-Leste,Prevention,Collection-heavy,0.4176073680851568,0.47619974278069693,Longer-term / local fit,Longer-term / local fit
TON,Tonga,Prevention,Collection-heavy,0.0,0.7251461684838003,No-regret / complementary,No-regret / complementary
TUV,Tuvalu,Prevention,Collection-heavy,0.0,0.6982053306161081,No-regret / complementary,No-regret / complementary
VUT,Vanuatu,Prevention,Collection-heavy,0.1454864317852141,0.5602545559593524,Longer-term / local fit,Longer-term / local fit
VNM,Viet Nam,Prevention,Collection-heavy,0.943892840906651,0.5688510624662174,Strategic build-out,Strategic build-out
ALB,Albania,Prevention,Collection-heavy,0.5502963545493029,0.7254308682796701,No-regret / complementary,No-regret / complementary
AND,Andorra,Prevention,Collection-heavy,0.0,0.8346592060377572,No-regret / complementary,No-regret / complementary
ARM,Armenia,Prevention,Collection-heavy,0.4991917823053633,0.784609422990891,No-regret / complementary,No-regret / complementary
AUT,Austria,,Collection-heavy,,,Missing/insufficient,Missing/insufficient
AZE,Azerbaijan,Prevention,Collection-heavy,0.7280045269487914,0.7597664261309792,Immediate priority,Immediate priority
BLR,Belarus,,Collection-heavy,,,Missing/insufficient,Missing/insufficient
